127,212,294
34,272,446
43,131,363
357,461,462
327,357,383
70,212,368
235,320,389
257,262,342
178,424,470
267,350,369
319,467,485
17,40,80
45,117,395
15,66,104
23,350,402
20,190,442
167,299,389
253,450,495
210,212,276
19,75,453
136,260,324
148,300,351
28,44,205
2,410,451
150,393,414
124,174,452
60,279,454
68,389,454
382,396,483
271,385,398
27,389,399
86,189,339
56,143,283
21,102,286
74,385,417
105,162,353
105,167,292
334,414,467
66,113,442
205,226,290
186,242,421
382,443,464
168,241,419
101,197,330
87,163,269
351,429,472
120,212,345
42,311,390
12,36,87
33,49,203
32,224,396
49,120,148
34,188,197
160,381,427
83,295,469
30,226,238
118,402,470
73,337,436
35,57,189
41,346,475
65,264,380
110,263,358
250,491,495
26,80,312
133,202,213
23,153,254
220,291,385
10,74,142
27,199,237
7,94,244
76,384,432
359,377,460
168,292,467
132,421,435
242,463,496
9,270,432
249,379,381
11,175,182
6,22,333
235,335,363
43,170,200
54,220,434
122,296,428
77,389,458
176,323,361
173,202,208
99,200,491
42,60,138
201,287,498
1,143,395
45,317,424
107,224,357
57,99,136
117,181,450
161,168,346
194,275,415
7,240,446
29,116,427
155,196,490
178,212,379
15,241,465
11,73,492
246,260,386
71,436,459
54,116,225
17,239,329
159,257,410
350,444,456
233,419,484
33,370,497
97,180,464
48,74,261
298,305,370
54,173,450
26,362,480
93,232,304
38,88,269
70,407,478
13,391,491
94,242,342
246,407,456
86,261,387
7,77,161
86,343,437
155,272,300
159,217,444
183,368,388
236,251,329
117,340,486
39,382,444
256,391,480
113,138,268
229,277,481
100,177,282
240,422,472
5,179,282
63,460,470
89,444,476
145,190,307
97,104,268
88,194,393
85,103,359
130,311,415
14,144,430
69,166,264
348,440,464
214,310,367
88,197,211
22,257,441
4,130,131
128,204,417
188,198,468
42,373,388
114,411,464
52,80,225
48,245,491
284,401,477
30,69,106
42,43,422
266,356,404
151,167,429
9,82,174
24,364,377
47,76,136
28,201,466
192,200,446
5,145,302
172,365,404
98,193,343
122,150,398
142,280,294
151,246,423
171,377,397
120,141,153
290,300,477
137,141,494
141,266,489
172,286,341
159,290,430
314,425,456
73,164,229
8,221,343
100,151,285
201,265,331
194,238,445
172,254,438
6,62,304
203,204,237
13,356,409
6,99,140
6,36,358
2,146,155
79,139,380
113,184,224
80,90,492
9,189,291
149,156,496
343,359,432
70,255,320
241,354,465
9,408,481
46,167,366
9,152,220
22,257,394
78,101,112
13,77,233
265,322,337
8,277,459
193,201,202
28,29,413
44,118,174
25,465,498
136,210,467
37,62,307
52,299,346
203,219,333
365,416,479
81,406,483
66,108,292
193,286,425
47,101,462
362,425,498
43,182,470
